,52W High,52W Low,52W Range,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,Dividend,Dividend %,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Forward P\/E,Gross Margin,Income,Index,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,PEG,P\/B,P\/C,P\/E,P\/FCF,P\/S,Payout,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volatility,Volume,_id,_rev,Day 1,Day 2,Day 3,Day 4,Day 5
AFSI_11-13-2017,-65.91%,-5.45%,10.27 - 28.48,0.58,1.24M,1.27,13.27,3.70,-0.057300000000000004,-,11-13-2017,0.56,0.68,6.60%,-0.32,43.32%,-291.40%,10.00%,0.31,1.42,12.70%,-16.40%,Nov 08 AMC,8000,7.27,-,-74.90M,-,Property & Casualty Insurance,7.40%,-0.07%,38.50%,-4.38%,0.50,2.13B,1.00%,Yes,-,0.78,2.79,-,-,0.36,-,-20.22%,-24.15%,-26.74%,-17.93%,-62.38%,-61.13%,10.30,9.71,-1.30%,-,-0.30%,-3.00%,12.70%,19.24,2.00,3.89,-23.56%,-39.96%,-24.81%,5.94B,3.60%,35.40%,Financial,13.41%,11.78,Yes,109.32M,207.21M,15.20,AFSI,7.24% 4.18%,336082,AFSI_11-13-2017,1-20b1e9f15b02154b1c3b8ee3e7a48a41,-0.04428424304840384,-0.060762100926879614,0.002059732234809486,-0.0628218331616891,-0.06694129763130796
AFSI_11-09-2017,-61.03%,-2.29%,11.36 - 28.48,0.51,1.23M,1.25,15.22,4.59,-0.0946,-,11-09-2017,0.53,0.68,5.55%,1.04,49.62%,-95.60%,10.25%,0.12,1.77,12.70%,-16.40%,Nov 08 AMC,8000,6.94,-,180.50M,-,Property & Casualty Insurance,7.40%,-0.07%,40.10%,-0.54%,0.47,2.38B,5.70%,Yes,1.15,0.81,2.67,11.77,11.34,0.40,62.60%,-8.64%,-10.77%,-11.29%,-2.23%,-55.22%,-51.64%,12.26,11.10,3.10%,-,0.80%,7.30%,12.70%,26.44,2.00,3.56,-14.62%,-32.04%,-14.55%,5.89B,16.80%,35.40%,Financial,14.60%,13.00,Yes,109.30M,194.40M,18.30,AFSI,5.32% 3.64%,313895,AFSI_11-09-2017,1-804c23771f1cdc17fc05c6dc69592823,-0.12522522522522517,-0.16396396396396395,-0.17837837837837844,-0.12342342342342338,-0.18018018018018023
AFSI_11-27-2017,-67.10%,6.36%,8.81 - 28.48,0.54,1.35M,1.26,13.27,3.76,0.0576,-,11-27-2017,0.56,0.68,7.26%,-0.32,40.68%,-291.40%,10.00%,0.30,1.37,12.70%,-16.40%,Nov 08 AMC,8000,6.86,-,-74.90M,-,Property & Casualty Insurance,7.40%,-0.01%,37.10%,-7.46%,0.50,1.91B,1.00%,Yes,-,0.71,2.50,-,-,0.32,-,-27.08%,-24.98%,-30.33%,3.54%,-65.78%,-64.13%,8.86,9.37,-1.30%,-,-0.30%,-3.00%,12.70%,31.55,2.20,1.15,-13.29%,-39.08%,-24.30%,5.94B,3.60%,35.40%,Financial,13.38%,10.88,Yes,109.52M,204.00M,14.50,AFSI,4.88% 5.37%,1545929,AFSI_11-27-2017,1-463c088fb7c01cdb9e3b1eccb7cf84e9,,,,,
AGO_11-03-2017,-14.74%,32.75%,29.37 - 45.73,0.94,878.61K,1.65,55.65,1.67,0.0581,-,11-03-2017,0.19,0.57,1.55%,8.84,-37.00%,15.10%,3.00%,0.74,3.06,10.70%,-7.30%,Nov 02 AMC,300,12.04,-,1.15B,-,Surety & Title Insurance,0.70%,-1.41%,-,-,0.19,4.41B,71.60%,Yes,1.39,0.66,22.07,4.17,129.81,2.30,6.10%,-5.99%,-1.94%,-16.91%,0.27%,-2.44%,24.24%,36.85,38.99,59.70%,-,7.90%,17.30%,12.60%,59.58,1.50,1.53,5.06%,-3.31%,-0.84%,1.92B,-21.40%,-1.40%,Financial,3.99%,5.27,Yes,115.89M,119.77M,50.33,AGO,2.25% 2.07%,93661,AGO_11-03-2017,1-7332e709174f1db9f5c7dceaf066af1c,-0.060015388561169614,-0.03667607078738133,-0.04334444729417808,-0.05873300846370866,-0.047448063606052915
AHT_11-03-2017,-20.53%,22.24%,5.35 - 8.23,0.16,480.43K,1.67,7.84,4.18,-0.0789,-,11-03-2017,4.95,0.48,6.76%,-1.38,10.00%,-105.10%,5.00%,-0.34,-0.99,-9.80%,-146.60%,Nov 02 AMC,103,-,31.90%,-130.70M,-,REIT - Hotel\/Motel,0.20%,0.00%,74.10%,-0.32%,4.95,687.71M,9.90%,Yes,-,0.91,1.70,-,3.69,0.47,-,14.70%,5.97%,13.42%,2.75%,-8.51%,28.16%,7.10,6.54,-9.00%,-,-2.70%,-17.20%,3.80%,39.20,2.40,2.29,-6.22%,0.21%,-1.48%,1.46B,-4.90%,11.70%,Financial,1.95%,3.20,Yes,79.09M,96.86M,7.29,AHT,2.36% 2.26%,76289,AHT_11-03-2017,1-2f57a3253f746deb0ea716712e3c285d,-0.03516819571865448,-0.04587155963302747,-0.022935779816513846,-0.041284403669724856,-0.03975535168195721
AIN_10-31-2017,2.25%,62.70%,37.00 - 58.88,0.96,120.84K,1.73,16.73,4.32,0.0664,2.50,10-31-2017,0.92,0.68,1.20%,1.27,24.21%,-89.20%,15.00%,0.42,2.36,19.40%,-8.20%,Nov 06 AMC,4400,23.92,35.20%,40.80M,-,Textile Industrial,0.60%,-8.24%,-,1.07%,0.83,1.81B,10.10%,Yes,2.96,3.37,13.06,44.45,51.08,2.21,53.50%,16.27%,-1.66%,5.42%,-2.00%,21.92%,40.95%,56.45,60.20,5.00%,1.70,3.20%,7.80%,6.70%,67.50,3.00,1.57,4.72%,19.30%,8.32%,819.20M,6.10%,-0.20%,Industrial Goods,2.44%,5.75,Yes,28.49M,32.12M,55.00,AIN,1.87% 1.55%,13210,AIN_10-31-2017,1-c595a149c70316cd5547873955b77b28,-0.004983388704319025,-0.0019933554817276322,-0.004152823920265836,-0.01661129568106312,-0.01910299003322269
AJRD_11-03-2017,-20.38%,79.94%,16.04 - 36.25,1.03,916.21K,1.45,1.70,5.53,-0.1023,1.70,11-03-2017,4.99,-,-,0.51,10.47%,96.80%,20.00%,0.19,0.99,41.00%,198.40%,Nov 07 AMC,4965,32.41,14.10%,37.20M,-,Aerospace\/Defense - Major Diversified,1.70%,0.00%,94.70%,0.59%,4.83,2.40B,4.30%,Yes,3.15,18.91,5.81,63.04,15.20,1.29,0.00%,45.54%,-7.64%,18.11%,-0.62%,79.11%,96.76%,32.15,28.86,2.00%,1.40,1.70%,80.30%,7.20%,33.12,2.40,2.29,-13.33%,18.72%,-9.62%,1.86B,-39.90%,13.90%,Industrial Goods,8.40%,6.68,Yes,72.81M,74.75M,35.50,AJRD,3.77% 2.81%,145818,AJRD_11-03-2017,1-c9e3561aa91aea29e02e2d88ae2e68f3,-0.0010395010395011228,0.033957033957033866,0.0498960498960499,-0.0031185031185031464,-0.007969507969508016
AKBA_11-09-2017,-20.40%,107.20%,7.78 - 20.25,0.51,382.91K,0.98,1.40,6.92,-0.0666,1.80,11-09-2017,0.00,-,-,-3.62,34.80%,44.30%,-,-0.51,-1.72,-29.20%,-56.90%,Nov 08,90,-,-,-140.20M,-,Biotechnology,0.50%,435.32%,63.20%,2.84%,0.00,801.50M,-,Yes,-,12.34,2.50,-,9.97,15.75,-,42.02%,-8.82%,27.08%,-3.30%,65.90%,121.41%,17.27,16.12,-,1.80,-52.60%,-218.70%,-200.40%,31.59,2.10,2.80,-9.48%,18.47%,-9.74%,50.90M,-,-,Healthcare,7.19%,6.90,Yes,36.75M,46.41M,20.86,AKBA,2.68% 2.71%,77232,AKBA_11-09-2017,1-694bd927e3c6e690e48425a74cf7ddd8,-0.043424317617866026,-0.07816377171215894,-0.10669975186104219,-0.07568238213399503,-0.05272952853598023
AKS_10-31-2017,-53.95%,6.39%,4.93 - 11.39,0.21,14.69M,2.99,-0.53,0.43,-0.10339999999999999,2.00,10-31-2017,-,-,-,0.38,51.44%,140.90%,43.38%,0.04,0.74,52.60%,98.80%,Oct 31 BMO,8500,7.95,15.70%,112.20M,-,Steel & Iron,0.50%,0.00%,72.20%,-3.31%,-,1.84B,5.70%,Yes,0.35,-,13.51,15.35,16.90,0.31,0.00%,-6.25%,4.65%,8.53%,-4.88%,-42.70%,12.28%,5.85,5.24,1.90%,0.80,2.80%,-34.10%,14.70%,35.47,2.50,7.89,-9.65%,-20.09%,-7.28%,5.96B,4.40%,-1.90%,Basic Materials,18.61%,3.94,Yes,311.17M,314.81M,7.68,AKS,3.30% 3.45%,8050893,AKS_10-31-2017,1-c689a79c6074b3470d4cd9998d4d928d,-0.08396946564885499,-0.16030534351145032,-0.20229007633587792,-0.15839694656488545,-0.19083969465648853
ALRM_11-09-2017,-18.40%,51.37%,26.68 - 49.49,1.35,465.75K,-,4.55,1.47,-0.1402,2.80,11-09-2017,0.34,-,-,0.40,0.00%,411.10%,16.95%,0.20,0.97,22.40%,233.80%,Nov 08 AMC,607,48.27,63.20%,19.40M,-,Application Software,2.10%,-35.62%,82.50%,-4.08%,0.34,2.19B,5.80%,Yes,6.98,10.32,31.85,118.31,81.28,7.37,0.00%,42.20%,-1.12%,15.83%,2.33%,68.77%,57.14%,46.97,40.38,6.50%,2.60,6.40%,9.90%,5.00%,28.87,2.20,11.06,-14.60%,9.22%,-12.55%,297.80M,33.50%,32.00%,Technology,2.69%,2.49,Yes,43.09M,46.72M,45.40,ALRM,3.57% 2.58%,370443,ALRM_11-09-2017,1-cf70f13871c10a9d613f4bc113ab5286,0.002971768202080227,0.00544824170381375,0.025507677067855283,0.050520059435364084,0.09162951956414056
ALTR_11-27-2017,-11.49%,36.86%,16.55 - 25.59,1.29,860.77K,-,-3.28,0.30,-0.0904,0.60,11-27-2017,-,-,-,-0.05,-,-589.30%,6.00%,-,-,-16.52%,-7.00%,-,2400,-,67.00%,-3.20M,-,Semiconductor - Specialized,23.20%,-,-,-,-,1.32B,-,Yes,-,-,75.58,-,-,4.12,-,-,-,-,-6.25%,23.70%,-,24.90,22.65,-,0.60,-,-,23.60%,-,3.10,0.41,4.39%,4.39%,4.39%,319.40M,9.10%,-,Technology,51.86%,8.11,Yes,13.46M,58.06M,50.69,ALTR,5.43% -,353068,ALTR_11-27-2017,1-371ca73318577e9f7ed43932e2130225,,,,,
AMAG_11-02-2017,-61.17%,-4.03%,14.90 - 36.83,0.79,898.18K,0.88,26.96,11.43,-0.10339999999999999,1.50,11-02-2017,0.81,-,-,-1.39,-23.70%,-,-,0.18,-1.72,54.30%,-107.80%,Nov 02 BMO,545,-,77.00%,-45.00M,-,Diagnostic Substances,1.50%,-1.52%,-,0.73%,0.81,557.29M,1.30%,Yes,-,0.59,1.40,-,2.96,0.94,-,-19.85%,-16.27%,-15.38%,1.92%,-54.17%,-38.77%,15.95,14.30,-7.60%,1.40,-1.80%,-4.80%,3.50%,30.27,2.70,4.17,-14.26%,-28.40%,-19.44%,593.20M,24.30%,54.10%,Healthcare,24.07%,9.30,Yes,34.73M,34.94M,22.70,AMAG,5.23% 4.57%,260182,AMAG_11-02-2017,1-baefe8f91c47c0754a011cb862a6c0fc,-0.054545454545454675,-0.04195804195804209,-0.08391608391608396,-0.03146853146853157,-0.010489510489510523
AMAG_11-03-2017,-63.27%,13.42%,11.93 - 36.83,1.03,955.21K,0.88,26.96,11.43,0.056600000000000004,1.50,11-03-2017,0.81,-,-,-1.39,-23.70%,-,-,0.18,-1.72,54.30%,-107.80%,Nov 02 BMO,545,-,77.00%,-45.00M,-,Diagnostic Substances,1.50%,-1.17%,-,0.73%,0.81,447.23M,1.30%,Yes,-,0.47,1.12,-,2.37,0.75,-,-32.98%,-32.45%,-36.32%,-15.79%,-63.22%,-50.48%,12.80,13.52,-7.60%,1.40,-1.80%,-4.80%,3.50%,30.87,2.70,2.02,-17.27%,-32.09%,-23.41%,593.20M,24.30%,54.10%,Healthcare,24.07%,8.75,Yes,34.73M,34.94M,22.70,AMAG,9.64% 5.74%,134048,AMAG_11-03-2017,1-e0f7ac7197cc85a0b992852dfbbb8d3b,0.013313609467455523,-0.031065088757396442,0.02440828402366857,0.04659763313609466,0.04511834319526642
AMBC_11-09-2017,-47.03%,-6.54%,15.44 - 27.25,0.41,298.15K,1.92,36.90,1.19,-0.0984,-,11-09-2017,7.70,-,-,-2.49,156.31%,-88.00%,11.00%,1.05,4.17,17.60%,-84.70%,Nov 08 AMC,154,3.84,-,-111.60M,-,Surety & Title Insurance,0.20%,43.29%,74.10%,0.19%,7.70,728.62M,8.90%,Yes,-,0.43,13.44,-,-,1.05,-,-7.67%,-3.55%,-18.57%,-0.81%,-28.84%,-22.17%,16.01,14.44,-16.10%,-,-0.50%,-6.40%,1.40%,26.77,2.00,8.40,-10.51%,-21.74%,-14.93%,692.30M,52.90%,6.50%,Financial,3.10%,4.67,Yes,44.87M,45.51M,25.67,AMBC,2.51% 2.34%,180091,AMBC_11-09-2017,1-b07df856aaacdc621386926a8f8a2648,-0.02216066481994461,-0.035318559556786644,-0.023545706371191133,-0.020775623268697974,-0.032548476454293596
AMC_11-24-2017,-60.99%,28.24%,10.80 - 35.50,0.76,3.21M,1.41,18.50,2.10,0.0492,0.50,11-24-2017,2.05,0.80,5.78%,-1.31,130.40%,-205.20%,-0.10%,0.38,0.38,24.10%,6.60%,Nov 06 AMC,3194,36.64,63.10%,-181.80M,-,"Movie Production, Theaters",0.40%,-96.74%,-,0.18%,2.01,1.72B,1.40%,Yes,-,0.75,6.61,-,-,0.37,-,-43.93%,-1.42%,7.36%,11.24%,-58.84%,-60.32%,13.20,13.85,-4.00%,0.50,-1.90%,-7.60%,2.60%,56.75,2.20,0.54,8.80%,-36.46%,-1.27%,4.59B,51.20%,5.10%,Services,41.38%,6.47,Yes,50.11M,124.03M,21.42,AMC,5.68% 6.70%,1739512,AMC_11-24-2017,1-d25dffdd332708d5863c6e412a66724e,0.07581227436823101,,,,
AMD_11-06-2017,-24.19%,90.76%,6.22 - 15.65,0.52,57.66M,2.48,0.54,-,0.067,1.70,11-06-2017,2.74,-,-,-0.08,175.00%,113.70%,0.13%,0.05,0.35,-23.70%,29.40%,Oct 24 AMC,8200,31.59,33.50%,-69.00M,-,Semiconductor - Broad Line,0.60%,-88.22%,68.50%,-4.54%,2.61,10.64B,2.40%,Yes,-,20.59,-,-,-,2.15,-,10.76%,-16.64%,-17.20%,-6.08%,-1.94%,65.97%,11.12,11.86,-1.40%,1.20,-2.00%,-15.70%,-25.90%,43.41,2.70,6.04,-8.34%,-7.45%,-7.74%,4.96B,25.70%,-8.20%,Technology,15.80%,2.58,Yes,940.31M,957.00M,14.16,AMD,4.86% 3.56%,24190468,AMD_11-06-2017,1-f8ce5d689fb4c3aedcaaa77134189d38,-0.004215851602023535,-0.0607082630691399,-0.07504215851602014,-0.05817875210792578,-0.08347386172006743
AMC_11-27-2017,-58.03%,37.96%,10.80 - 35.50,0.79,3.21M,1.40,18.50,2.11,0.0758,0.50,11-27-2017,2.05,0.80,5.37%,-1.31,128.80%,-205.20%,-0.10%,0.38,0.36,24.10%,6.60%,Nov 06 AMC,3194,41.85,63.10%,-181.80M,-,"Movie Production, Theaters",0.40%,-96.77%,-,0.19%,2.01,1.83B,1.40%,Yes,-,0.81,7.05,-,-,0.40,-,-36.19%,1.36%,14.18%,15.06%,-55.72%,-57.37%,13.85,14.90,-4.00%,0.50,-1.90%,-7.60%,2.60%,64.67,2.20,1.25,17.44%,-31.37%,6.55%,4.59B,51.20%,5.10%,Services,43.19%,6.46,No,48.01M,122.96M,21.42,AMC,6.02% 6.78%,3998083,AMC_11-27-2017,1-c2b22d39c3c01c33d7a29d5c3d3b6a63,,,,,
AMED_11-02-2017,-19.18%,54.05%,34.58 - 65.91,1.99,317.69K,0.70,14.63,1.78,0.14679999999999999,1.20,11-02-2017,0.19,-,-,1.18,10.23%,-59.00%,19.03%,0.53,2.44,15.80%,42.60%,Nov 07 AMC,16000,19.08,41.80%,39.90M,-,Home Health Care,1.00%,-17.97%,99.96%,0.66%,0.17,1.54B,3.60%,Yes,2.08,3.17,26.08,39.53,18.08,1.05,0.00%,-21.19%,-14.19%,-1.28%,-6.10%,8.96%,10.44%,46.45,53.27,2.70%,1.20,5.30%,8.50%,6.00%,59.92,2.50,15.44,8.27%,0.28%,4.45%,1.48B,5.00%,0.30%,Healthcare,9.02%,9.43,Yes,33.19M,33.24M,55.50,AMED,3.82% 3.77%,340859,AMED_11-02-2017,1-5f431b6276fe4677dd937090b972cdab,-0.006382579312934178,0.03247606532757641,0.11150741505537831,0.06626619110193332,0.044114886427632616
AMED_11-08-2017,-10.17%,71.23%,34.58 - 65.91,2.40,342.28K,0.64,14.63,1.76,0.0728,1.20,11-08-2017,0.19,-,-,1.18,9.83%,-59.00%,19.03%,0.54,2.44,15.80%,43.20%,Nov 07 AMC,16000,22.67,41.80%,39.90M,-,Home Health Care,1.00%,-17.80%,-,1.36%,0.17,1.86B,3.60%,Yes,2.47,3.77,31.36,46.97,21.74,1.26,0.00%,-6.30%,12.84%,13.89%,14.72%,29.46%,39.58%,55.19,59.21,2.70%,1.20,5.30%,8.50%,6.00%,70.72,2.50,2.31,18.41%,11.12%,15.22%,1.48B,5.00%,0.30%,Healthcare,9.02%,8.75,Yes,33.19M,33.64M,55.50,AMED,5.07% 3.94%,56960,AMED_11-08-2017,1-0bfb72c7c154bde9d29729f9f2e140bb,-0.04070258402296911,-0.06063165005911164,-0.05235602094240843,-0.03833811856105396,-0.049991555480493166
AMH_11-03-2017,-14.51%,4.46%,19.63 - 23.98,0.27,2.03M,0.70,18.05,0.25,-0.050499999999999996,-,11-03-2017,0.52,0.20,0.93%,-0.09,233.85%,98.30%,14.40%,-0.01,0.22,-62.30%,64.30%,Nov 02 AMC,953,99.49,56.10%,-20.40M,-,REIT - Residential,10.10%,7.19%,92.80%,0.80%,0.52,5.82B,3.40%,Yes,-,1.20,86.51,-,19.08,6.23,-,-3.05%,-0.87%,-4.04%,1.27%,2.91%,6.88%,21.59,20.50,-2.20%,-,-0.20%,-0.50%,-0.10%,31.67,2.10,2.42,-4.84%,-8.91%,-6.08%,934.40M,7.20%,570.20%,Financial,2.79%,3.29,Yes,240.03M,269.67M,25.25,AMH,1.20% 1.18%,341348,AMH_11-03-2017,1-dd725404ec1346581c30d15c185b7eec,0.05414634146341468,0.07024390243902445,0.06487804878048764,0.0741463414634147,0.0741463414634147
AMRC_11-06-2017,2.42%,79.23%,4.60 - 8.05,0.20,57.15K,1.08,6.67,0.58,0.050300000000000004,1.30,11-06-2017,0.64,-,-,0.37,27.86%,199.60%,25.00%,0.13,0.54,-19.10%,61.50%,Oct 31 BMO,1038,14.62,20.40%,16.90M,-,Technical Services,0.70%,-14.39%,45.10%,-0.11%,0.57,364.16M,3.10%,Yes,0.85,1.18,13.44,21.22,-,0.54,0.00%,13.77%,-1.26%,23.62%,-1.88%,42.73%,63.54%,7.85,8.24,1.50%,1.20,1.30%,3.50%,4.30%,64.36,1.30,8.76,5.19%,23.33%,7.74%,680.20M,2.50%,-2.20%,Services,1.64%,4.75,Yes,16.54M,46.39M,8.83,AMRC,2.57% 2.43%,34805,AMRC_11-06-2017,1-b4af11d65f1fa3a8e7bcd79b699657d6,0.061893203883495174,0.04975728155339798,0.055825242718446466,0.061893203883495174,0.013349514563106624
AMWD_11-16-2017,-7.74%,42.14%,69.65 - 107.30,2.71,112.05K,1.58,22.89,14.07,0.0668,3.50,11-16-2017,0.05,-,-,4.38,9.19%,3.00%,8.00%,1.26,5.36,38.00%,21.60%,Nov 21 BMO,5808,17.31,21.30%,71.80M,-,Home Furnishings & Fixtures,13.00%,-6.15%,81.10%,-2.89%,0.04,1.52B,10.20%,Yes,2.65,4.05,6.60,21.18,35.77,1.45,0.00%,5.16%,-3.48%,-0.80%,2.20%,23.32%,15.14%,92.80,99.00,6.80%,3.00,14.30%,21.00%,19.10%,61.66,2.00,4.01,4.11%,8.90%,5.47%,1.05B,7.20%,14.80%,Consumer Goods,2.56%,3.24,Yes,14.18M,16.38M,108.00,AMWD,3.83% 2.77%,31251,AMWD_11-16-2017,1-398ba71766e70e2ae63f7aa190ff3fc9,-0.06616161616161609,-0.017676767676767624,-0.029797979797979823,-0.02020202020202022,-0.03181818181818186
ANDE_11-08-2017,-30.40%,1.46%,30.80 - 44.90,1.00,102.79K,1.37,26.10,0.66,-0.0889,1.40,11-08-2017,0.73,0.64,1.87%,-0.63,61.18%,-284.70%,8.00%,0.16,2.45,-34.50%,188.00%,Nov 06 AMC,2176,14.00,9.00%,-17.90M,-,Farm Products,1.70%,0.00%,79.90%,1.74%,0.48,983.72M,-0.60%,Yes,-,1.31,52.05,-,9.39,0.26,-,4.73%,0.59%,4.10%,-8.41%,-23.27%,-11.71%,34.30,31.25,-0.50%,0.50,-0.90%,-2.30%,0.90%,26.17,2.20,4.32,-14.16%,-12.15%,-9.44%,3.82B,-6.60%,-3.00%,Consumer Goods,2.76%,7.23,Yes,26.87M,28.68M,39.60,ANDE,3.27% 2.55%,31962,ANDE_11-08-2017,1-23e6310ece3e93143e0bf14a64041412,-0.009600000000000053,-0.027200000000000002,-0.036799999999999944,-0.03520000000000001,-0.03200000000000003
ANET_11-03-2017,-2.95%,147.94%,79.05 - 201.95,5.32,782.00K,1.28,18.86,15.82,0.0819,3.20,11-03-2017,0.00,-,-,3.84,19.84%,29.40%,21.00%,1.19,5.65,36.20%,49.70%,Nov 02 AMC,1500,32.08,64.10%,294.60M,-,Diversified Computer Systems,0.20%,-20.18%,61.70%,0.02%,0.03,12.88B,24.30%,Yes,2.25,9.61,11.45,47.24,60.60,9.48,0.00%,25.19%,-4.99%,5.30%,-5.56%,87.22%,118.51%,181.17,196.00,21.70%,2.50,16.00%,25.00%,16.20%,56.13,2.20,8.68,2.04%,30.89%,5.84%,1.36B,-20.70%,51.90%,Technology,6.67%,3.93,Yes,46.12M,71.11M,190.11,ANET,4.29% 2.32%,471723,ANET_11-03-2017,1-b96fd0f93c4eb877278cbb6f20d26a9d,0.044591836734694024,0.08147959183673459,0.08397959183673476,0.13637755102040816,0.14862244897959176
ANF_11-01-2017,-29.11%,39.61%,8.81 - 17.35,0.46,2.86M,0.76,16.90,6.05,-0.08410000000000001,2.20,11-01-2017,0.00,0.80,5.96%,-0.32,166.70%,-17.10%,18.00%,0.22,0.02,-48.50%,-88.70%,Aug 24 BMO,5000,839.38,60.20%,-20.50M,-,Apparel Stores,0.30%,0.00%,-,-0.17%,0.23,936.21M,-0.30%,Yes,-,0.79,2.22,-,-,0.28,-,8.74%,-8.76%,35.25%,-5.02%,11.92%,-8.08%,13.43,12.30,-0.60%,1.20,-0.90%,-1.70%,1.80%,32.22,3.10,4.62,-10.44%,1.77%,-9.02%,3.30B,-0.50%,-4.40%,Services,22.62%,5.33,Yes,67.39M,69.71M,11.42,ANF,3.92% 3.16%,919429,ANF_11-01-2017,1-817ec7060ea144c111dd1879820ad800,-0.015447154471544766,-0.025203252032520385,-0.034146341463414664,-0.034146341463414664,-0.033333333333333326
ANF_11-17-2017,-12.89%,67.99%,8.81 - 16.99,0.54,2.94M,0.84,16.90,6.16,0.1793,2.20,11-17-2017,0.00,0.80,6.37%,-0.32,200.00%,-17.10%,18.00%,0.22,0.02,-48.50%,-88.70%,Nov 17 BMO,5000,784.38,60.20%,-20.50M,-,Apparel Stores,0.30%,0.00%,-,1.59%,0.23,859.12M,-0.30%,Yes,-,0.74,2.04,-,-,0.26,-,0.72%,-5.21%,29.92%,3.04%,4.58%,-22.96%,12.55,14.80,-0.60%,1.20,-0.90%,-1.70%,1.80%,67.55,3.10,19.19,14.76%,22.17%,9.54%,3.30B,-0.50%,-4.40%,Services,22.38%,5.14,Yes,67.39M,68.46M,11.31,ANF,4.92% 4.16%,3914990,ANF_11-17-2017,1-22d01a2223d1274ac96f2bdef08790be,0.10405405405405399,0.13648648648648654,0.11621621621621614,0.13040540540540535,0.11418918918918908
ANF_11-20-2017,-0.12%,85.47%,8.81 - 16.36,0.76,3.20M,0.84,16.90,7.68,0.0508,2.20,11-20-2017,0.00,0.80,5.14%,-0.32,147.83%,-17.10%,18.00%,0.82,0.06,-48.50%,-88.70%,Nov 17 BMO,5000,272.81,60.20%,-20.50M,-,Apparel Stores,0.30%,0.00%,-,0.34%,0.23,854.47M,-0.30%,Yes,-,0.92,2.03,-,-,0.26,-,24.40%,16.04%,67.38%,23.81%,29.58%,-8.15%,15.55,16.34,-0.60%,1.20,-0.90%,-1.70%,1.80%,74.57,3.10,4.60,25.83%,34.66%,20.57%,3.30B,-0.50%,-4.40%,Services,-,4.72,Yes,-,54.95M,11.31,ANF,5.80% 4.48%,1022309,ANF_11-20-2017,1-370917e51d640f88e40365dc1b25f6da,0.02937576499388017,0.011015911872704898,0.0238678090575275,0.009179926560587415,
ANGI_11-09-2017,-20.85%,108.33%,5.22 - 13.74,0.46,495.77K,1.33,0.15,0.10,-0.0737,0.90,11-09-2017,6.60,-,-,-0.23,162.35%,-271.30%,6.00%,0.16,0.22,39.10%,-176.60%,Nov 08 AMC,1567,52.65,89.00%,-14.00M,-,Internet Software & Services,0.30%,-32.42%,80.30%,-0.41%,6.26,5.68B,-2.70%,Yes,-,78.27,116.08,-,-,18.78,-,0.09%,1.65%,1.38%,-5.09%,42.65%,56.53%,11.74,10.88,-4.60%,0.90,-8.70%,-392.60%,-5.10%,29.59,1.70,5.33,-9.82%,8.85%,-9.96%,302.30M,-12.40%,29.10%,Technology,2.94%,28.17,Yes,475.14M,483.50M,14.00,ANGI,4.47% 3.34%,190161,ANGI_11-09-2017,1-f4810439d76c264da08324f1029c3fc6,0.04871323529411753,0.05514705882352944,0.061580882352941124,0.06893382352941169,0.07996323529411753
ANIP_11-27-2017,-10.74%,57.90%,42.23 - 74.70,3.11,121.71K,2.86,15.82,1.82,-0.1057,3.50,11-27-2017,0.83,-,-,0.64,18.53%,84.60%,13.30%,1.09,4.65,15.10%,-74.40%,Nov 02 BMO,143,14.34,55.00%,7.40M,-,Biotechnology,16.92%,0.00%,76.20%,-2.92%,0.83,659.47M,13.30%,Yes,7.90,4.21,36.64,105.01,24.07,3.93,0.00%,51.30%,15.10%,45.15%,4.60%,10.00%,11.24%,74.56,66.68,4.40%,2.40,2.10%,4.20%,5.30%,59.18,1.70,4.00,7.43%,30.49%,16.12%,167.80M,25.20%,212.00%,Healthcare,9.96%,7.90,Yes,9.66M,9.89M,66.33,ANIP,7.13% 4.78%,486913,ANIP_11-27-2017,1-2b9bacebe68b73a0c8c878a037008f27,,,,,
